Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId,Cluster
50.0,Kalimantan Selatan,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,50.0,3621,0
51.0,Kalimantan Utara,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,51.0,3622,0
52.0,Kepulauan Riau,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,52.0,3623,0
53.0,Nusa Tenggara Barat,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,53.0,3624,0
54.0,Sumatera Selatan,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,54.0,3625,0
55.0,Sumatera Barat,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,55.0,3626,0
56.0,Sulawesi Utara,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,56.0,3627,0
57.0,Sumatera Utara,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,57.0,3628,0
58.0,Sulawesi Tenggara,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,58.0,3629,0
59.0,Sulawesi Selatan,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,59.0,3630,0
60.0,Sulawesi Tengah,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,60.0,3631,0
61.0,Lampung,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,61.0,3632,0
62.0,Riau,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,62.0,3633,0
63.0,Maluku Utara,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,63.0,3634,0
64.0,Maluku,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,64.0,3635,0
65.0,Papua Barat,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,65.0,3636,0
66.0,Papua,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,66.0,3637,0
67.0,Sulawesi Barat,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,67.0,3638,0
68.0,Nusa Tenggara Timur,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,68.0,3639,0
69.0,Gorontalo,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,69.0,3640,0
70.0,Indonesia,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,70.0,3641,0
71.0,Aceh,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,71.0,3642,0
72.0,Bali,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,72.0,3643,0
73.0,Banten,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,73.0,3644,0
74.0,Kepulauan Bangka Belitung,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,74.0,3645,0
75.0,Bengkulu,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,75.0,3646,0
76.0,Daerah Istimewa Yogyakarta,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,76.0,3647,0
